[2026-05-02 10:13:47] info: 	z2m: Logging to console, file (filename: log.log)
[2026-05-02 10:13:48] info: 	z2m: Starting Zigbee2MQTT version 2.10.0 (commit #unknown)
[2026-05-02 10:13:48] info: 	z2m: Starting zigbee-herdsman (10.0.7)
[2026-05-02 10:13:48] info: 	zh:zstack:znp: Opening TCP socket with 192.168.87.68:6638
[2026-05-02 10:13:48] info: 	zh:zstack:znp: Socket connected
[2026-05-02 10:13:48] info: 	zh:zstack:znp: Socket ready
[2026-05-02 10:13:48] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2026-05-02 10:13:49] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2026-05-02 10:13:49] info: 	z2m: zigbee-herdsman started (resumed)
[2026-05-02 10:13:49] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20240710,"transportrev":2},"type":"ZStack3x0"}'
[2026-05-02 10:13:49] info: 	z2m: Button 4 - Movie (0xb4e3f9fffe249e15): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Smart Plug Z1 (0xa4c13812921dddfd): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-05-02 10:13:49] info: 	z2m: Button 3 - Workshop (0xb4e3f9fffe753317): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Button 2 - Chandelier (0x04cd15fffe7ff98b): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Button 1 - Kitchen (0x04cd15fffe268dcc): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Cube (0x54ef4410006a43c7): CTP-R01 - Aqara Cube T1 Pro (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Philips Backyard Sensor (0x001788010649a073): 9290019758 - Philips Hue motion outdoor sensor (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Water Sensor 1 (0x5c0272fffebb9cde): TS0207_water_leak_detector_3 - Tuya Zigbee water leak sensor (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Alarm Keypad (0x0015bc0043006306): KEYZB-110 - Develco Keypad (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Alarm Repeater (0x0015bc0022000242): REXZB-111 - Develco Range extender with backup battery (Router)
[2026-05-02 10:13:49] info: 	z2m: Alarm Siren (0x0015bc0041007a25): SIRZB-111 - Develco Customizable siren (Router)
[2026-05-02 10:13:49] info: 	z2m: Workshop Light (0x54ef441000b757df): CL-L02D - Aqara Ceiling light T1M (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Kitchen Presence (0x54ef44100124a3ca): FP1E - Aqara Presence sensor (EndDevice)
[2026-05-02 10:13:49] info: 	z2m: Currently 13 devices are joined.
[2026-05-02 10:13:49] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2026-05-02 10:13:49] info: 	z2m: Connected to MQTT server
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Button 4 - Movie/availability', payload '{"state":"online"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Smart Plug Z1/availability', payload '{"state":"offline"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Button 3 - Workshop/availability', payload '{"state":"online"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Button 2 - Chandelier/availability', payload '{"state":"online"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Button 1 - Kitchen/availability', payload '{"state":"online"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Cube/availability', payload '{"state":"offline"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Philips Backyard Sensor/availability', payload '{"state":"online"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Water Sensor 1/availability', payload '{"state":"online"}'
[2026-05-02 10:13:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Alarm Keypad/availability', payload '{"state":"online"}'
