[2026-07-03 07:59:53] info: 	z2m: Logging to console, file (filename: log.log)
[2026-07-03 07:59:53] info: 	z2m: Starting Zigbee2MQTT version 2.12.1 (commit #unknown)
[2026-07-03 07:59:53] info: 	z2m: Starting zigbee-herdsman (10.6.1)
[2026-07-03 07:59:53] info: 	zh:zstack:znp: Opening TCP socket with 192.168.87.68:6638
[2026-07-03 07:59:54] info: 	zh:zstack:znp: Socket connected
[2026-07-03 07:59:54] info: 	zh:zstack:znp: Socket ready
[2026-07-03 07:59:54] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2026-07-03 07:59:55] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2026-07-03 08:00:00] info: 	z2m: Stopping Zigbee2MQTT (restart=false, code=0, signal=SIGTERM)
[2026-07-03 08:00:00] info: 	z2m: Disconnecting from MQTT server
[2026-07-03 08:00:00] info: 	z2m: Stopping zigbee-herdsman...
[2026-07-03 08:00:00] info: 	z2m: Stopped zigbee-herdsman
[2026-07-03 08:00:00] info: 	z2m: Stopped Zigbee2MQTT
